time,open,high,low,close,Volume,close_lag_1,close_lag_2,close_lag_3,close_lag_4,close_lag_5
1998-11-16,69947.16423,70042.33044,69947.16423,69947.16423,0,73178.95728,74367.57038,73540.01016,72522.9213,78187.40058
1998-11-17,72643.96886,72692.83799,72643.96886,72692.83799,0,69947.16423,73178.95728,74367.57038,73540.01016,72522.9213
1998-11-18,72338.53676,72497.36145,72338.53676,72497.36145,0,72692.83799,69947.16423,73178.95728,74367.57038,73540.01016
1998-11-19,71374.65738,71374.65738,71324.01996,71324.01996,0,72497.36145,72692.83799,69947.16423,73178.95728,74367.57038
1998-11-23,71374.65738,71446.99656,71374.65738,71398.77044,0,71324.01996,72497.36145,72692.83799,69947.16423,73178.95728
1998-11-24,71446.99656,71495.22268,71422.8835,71422.8835,0,71398.77044,71324.01996,72497.36145,72692.83799,69947.16423
1998-11-26,71278.20514,71338.48779,71278.20514,71338.48779,0,71422.8835,71398.77044,71324.01996,72497.36145,72692.83799
1998-11-30,69828.20647,69897.20197,69828.20647,69863.8938,0,71338.48779,71422.8835,71398.77044,71324.01996,72497.36145
1998-12-01,70639.20905,70723.60476,70639.20905,70711.54823,0,69863.8938,71338.48779,71422.8835,71398.77044,71324.01996
1998-12-02,71324.50222,71471.10962,71324.50222,71446.67505,0,70711.54823,69863.8938,71338.48779,71422.8835,71398.77044
1998-12-03,70434.24805,70434.24805,70434.24805,70434.24805,0,71446.67505,70711.54823,69863.8938,71338.48779,71422.8835
1998-12-07,69651.57831,69663.4339,69509.31125,69509.31125,0,70434.24805,71446.67505,70711.54823,69863.8938,71338.48779
1998-12-08,70844.17006,71085.30066,70844.17006,70988.84842,0,69509.31125,70434.24805,71446.67505,70711.54823,69863.8938
1998-12-09,70419.78021,70683.25558,70419.78021,70647.32712,0,70988.84842,69509.31125,70434.24805,71446.67505,70711.54823
1998-12-10,70072.55215,70072.55215,70072.55215,70072.55215,0,70647.32712,70988.84842,69509.31125,70434.24805,71446.67505
1998-12-14,73477.31621,73540.01016,73424.65329,73424.65329,0,70072.55215,70647.32712,70988.84842,69509.31125,70434.24805
1998-12-15,73591.85324,73703.97897,73342.68496,73342.68496,0,73424.65329,70072.55215,70647.32712,70988.84842,69509.31125
1998-12-16,72201.09232,72250.60447,72188.71429,72188.71429,0,73342.68496,73424.65329,70072.55215,70647.32712,70988.84842
1998-12-17,72474.21292,72712.44995,72474.21292,72712.44995,0,72188.71429,73342.68496,73424.65329,70072.55215,70647.32712
1998-12-21,71136.5811,71210.84933,71136.5811,71210.84933,0,72712.44995,72188.71429,73342.68496,73424.65329,70072.55215
1998-12-22,71012.80073,71161.33718,70938.53251,70938.53251,0,71210.84933,72712.44995,72188.71429,73342.68496,73424.65329
1998-12-23,70802.37409,70802.37409,70802.37409,70802.37409,0,70938.53251,71210.84933,72712.44995,72188.71429,73342.68496
1998-12-28,73560.90815,73635.49788,73560.90815,73586.62875,0,70802.37409,70938.53251,71210.84933,72712.44995,72188.71429
1998-12-29,73818.11412,73895.27591,73818.11412,73818.11412,0,73586.62875,70802.37409,70938.53251,71210.84933,72712.44995
1998-12-30,74075.32009,74075.32009,74075.32009,74075.32009,0,73818.11412,73586.62875,70802.37409,70938.53251,71210.84933
1999-01-05,72996.98405,72996.98405,72996.98405,72996.98405,0,74075.32009,73818.11412,73586.62875,70802.37409,70938.53251
1999-01-06,72185.82072,73151.30764,72185.82072,72925.6094,0,72996.98405,74075.32009,73818.11412,73586.62875,70802.37409
