Date,USD,IDR
7/30/2016,"1.351,10 (-1.273,39)","568.789 (-794.949,84)"
7/31/2016,"1.351,10 (-1.273,39)","568.789 (-794.949,84)"
8/1/2016,"1.352,20 (-1.272,29)","568.643 (-795.095,40)"
8/2/2016,"1.365,30 (-1.259,19)","574.108 (-789.630,33)"
8/3/2016,"1.356,70 (-1.267,79)","572.018 (-791.719,97)"
8/4/2016,"1.362,40 (-1.262,09)","575.473 (-788.265,45)"
8/5/2016,"1.339,20 (-1.285,29)","565.114 (-798.624,78)"
8/6/2016,"1.336,60 (-1.287,89)","564.017 (-799.721,93)"
8/7/2016,"1.336,60 (-1.287,89)","564.017 (-799.721,93)"
8/8/2016,"1.337,10 (-1.287,39)","565.044 (-798.694,15)"
8/9/2016,"1.340,20 (-1.284,29)","565.880 (-797.858,10)"
8/10/2016,"1.344,90 (-1.279,59)","567.432 (-796.305,98)"
8/11/2016,"1.346,20 (-1.278,29)","567.548 (-796.190,31)"
8/12/2016,"1.335,40 (-1.289,09)","563.295 (-800.442,97)"
8/13/2016,"1.336,00 (-1.288,49)","563.549 (-800.189,88)"
8/14/2016,"1.336,00 (-1.288,49)","563.549 (-800.189,88)"
8/15/2016,"1.341,00 (-1.283,49)","565.701 (-798.037,68)"
8/16/2016,"1.347,50 (-1.276,99)","567.446 (-796.292,09)"
8/17/2016,"1.344,20 (-1.280,29)","566.057 (-797.681,75)"
8/18/2016,"1.350,80 (-1.273,69)","569.531 (-794.207,55)"
8/19/2016,"1.342,90 (-1.281,59)","566.416 (-797.322,51)"
8/20/2016,"1.341,40 (-1.283,09)","565.783 (-797.955,19)"
8/21/2016,"1.341,40 (-1.283,09)","565.783 (-797.955,19)"
8/22/2016,"1.339,40 (-1.285,09)","568.299 (-795.439,87)"
8/23/2016,"1.340,10 (-1.284,39)","569.414 (-794.324,25)"
8/24/2016,"1.327,40 (-1.297,09)","565.554 (-798.184,16)"
8/25/2016,"1.322,20 (-1.302,29)","563.976 (-799.762,04)"
8/26/2016,"1.325,00 (-1.299,49)","564.106 (-799.632,71)"
8/27/2016,"1.321,10 (-1.303,39)","562.445 (-801.293,10)"
8/28/2016,"1.321,10 (-1.303,39)","562.445 (-801.293,10)"
8/29/2016,"1.323,10 (-1.301,39)","564.701 (-799.037,84)"
8/30/2016,"1.316,30 (-1.308,19)","561.164 (-802.574,89)"
8/31/2016,"1.308,30 (-1.316,19)","559.436 (-804.302,93)"
9/1/2016,"1.314,50 (-1.309,99)","560.777 (-802.961,90)"
9/2/2016,"1.322,40 (-1.302,09)","563.807 (-799.931,83)"
9/3/2016,"1.325,00 (-1.299,49)","564.915 (-798.823,31)"
9/4/2016,"1.325,00 (-1.299,49)","564.915 (-798.823,31)"
9/5/2016,"1.327,10 (-1.297,39)","563.080 (-800.658,68)"
9/6/2016,"1.345,70 (-1.278,79)","569.457 (-794.281,11)"
9/7/2016,"1.343,90 (-1.280,59)","565.412 (-798.326,57)"
9/8/2016,"1.337,90 (-1.286,59)","563.060 (-800.678,86)"
9/9/2016,"1.332,30 (-1.292,19)","560.660 (-803.078,47)"
9/10/2016,"1.328,40 (-1.296,09)","559.019 (-804.719,68)"
9/11/2016,"1.328,40 (-1.296,09)","559.019 (-804.719,68)"
9/12/2016,"1.321,60 (-1.302,89)","556.157 (-807.581,26)"
9/13/2016,"1.323,90 (-1.300,59)","559.764 (-803.974,38)"
9/14/2016,"1.322,60 (-1.301,89)","562.489 (-801.249,80)"
9/15/2016,"1.315,60 (-1.308,89)","557.904 (-805.834,14)"
9/16/2016,"1.309,40 (-1.315,09)","552.791 (-810.947,15)"
9/17/2016,"1.310,50 (-1.313,99)","553.256 (-810.482,77)"
9/18/2016,"1.310,50 (-1.313,99)","553.256 (-810.482,77)"
9/19/2016,"1.313,60 (-1.310,89)","555.958 (-807.780,34)"
9/20/2016,"1.315,40 (-1.309,09)","555.790 (-807.948,92)"
9/21/2016,"1.326,30 (-1.298,19)","560.651 (-803.087,55)"
9/22/2016,"1.341,30 (-1.283,19)","564.835 (-798.902,97)"
9/23/2016,"1.338,70 (-1.285,79)","563.741 (-799.997,86)"
9/24/2016,"1.337,60 (-1.286,89)","563.277 (-800.461,08)"
9/25/2016,"1.337,60 (-1.286,89)","563.277 (-800.461,08)"
9/26/2016,"1.340,30 (-1.284,19)","563.466 (-800.272,10)"
9/27/2016,"1.327,20 (-1.297,29)","555.868 (-807.870,23)"
9/28/2016,"1.319,90 (-1.304,59)","548.525 (-815.213,69)"
9/29/2016,"1.320,80 (-1.303,69)","550.003 (-813.735,58)"
9/30/2016,"1.317,40 (-1.307,09)","550.535 (-813.203,05)"
10/1/2016,"1.066,60 (-1.557,89)","473.504 (-890.234,71)"
10/2/2016,"1.055,40 (-1.569,09)","466.801 (-896.937,34)"
10/3/2016,"1.058,70 (-1.565,79)","471.256 (-892.482,41)"
10/4/2016,"1.086,30 (-1.538,19)","483.122 (-880.616,01)"
10/5/2016,"1.086,90 (-1.537,59)","483.389 (-880.349,16)"
10/6/2016,"1.086,90 (-1.537,59)","483.389 (-880.349,16)"
10/7/2016,"1.076,60 (-1.547,89)","478.947 (-884.791,54)"
10/8/2016,"1.073,40 (-1.551,09)","478.075 (-885.662,96)"
10/9/2016,"1.072,40 (-1.552,09)","477.630 (-886.108,34)"
10/10/2016,"1.258,80 (-1.365,69)","524.873 (-838.865,39)"
10/11/2016,"1.257,20 (-1.367,29)","525.136 (-838.602,87)"
10/12/2016,"1.251,70 (-1.372,79)","524.086 (-839.652,70)"
10/13/2016,"1.256,50 (-1.367,99)","526.297 (-837.440,96)"
10/14/2016,"1.255,60 (-1.368,89)","526.688 (-837.050,93)"
10/15/2016,"1.251,30 (-1.373,19)","524.884 (-838.854,66)"
10/16/2016,"1.251,30 (-1.373,19)","524.884 (-838.854,66)"
10/17/2016,"1.255,90 (-1.368,59)","527.096 (-836.642,44)"
10/18/2016,"1.262,90 (-1.361,59)","529.628 (-834.110,60)"
10/19/2016,"1.269,70 (-1.354,79)","530.969 (-832.769,26)"
10/20/2016,"1.266,40 (-1.358,09)","529.263 (-834.475,00)"
10/21/2016,"1.265,30 (-1.359,19)","529.658 (-834.080,43)"
10/22/2016,"1.266,40 (-1.358,09)","530.118 (-833.619,97)"
10/23/2016,"1.266,40 (-1.358,09)","530.118 (-833.619,97)"
10/24/2016,"1.263,80 (-1.360,69)","530.127 (-833.611,27)"
10/25/2016,"1.272,30 (-1.352,19)","532.670 (-831.068,40)"
10/26/2016,"1.267,70 (-1.356,79)","529.725 (-834.013,21)"
10/27/2016,"1.269,10 (-1.355,39)","531.534 (-832.204,13)"
10/28/2016,"1.270,20 (-1.354,29)","532.853 (-830.885,82)"
10/29/2016,"1.275,90 (-1.348,59)","535.244 (-828.494,65)"
10/30/2016,"1.275,90 (-1.348,59)","535.244 (-828.494,65)"
10/31/2016,"1.273,50 (-1.350,99)","534.360 (-829.378,63)"
11/1/2016,"1.061,50 (-1.562,99)","470.796 (-892.942,45)"
11/2/2016,"1.061,50 (-1.562,99)","470.796 (-892.942,45)"
11/3/2016,"1.061,50 (-1.562,99)","470.796 (-892.942,45)"
11/4/2016,"1.073,40 (-1.551,09)","479.628 (-884.109,98)"
11/5/2016,"1.080,10 (-1.544,39)","483.768 (-879.970,25)"
11/6/2016,"1.090,60 (-1.533,89)","486.087 (-877.651,71)"
11/7/2016,"1.106,70 (-1.517,79)","496.216 (-867.522,60)"
11/8/2016,"1.104,30 (-1.520,19)","492.583 (-871.155,00)"
11/9/2016,"1.104,80 (-1.519,69)","492.806 (-870.931,97)"
11/10/2016,"1.263,40 (-1.361,09)","532.843 (-830.895,09)"
11/11/2016,"1.232,70 (-1.391,79)","529.090 (-834.648,25)"
11/12/2016,"1.227,60 (-1.396,89)","526.901 (-836.837,23)"
11/13/2016,"1.227,60 (-1.396,89)","526.901 (-836.837,23)"
11/14/2016,"1.218,50 (-1.405,99)","523.309 (-840.429,66)"
11/15/2016,"1.224,80 (-1.399,69)","525.227 (-838.511,56)"
11/16/2016,"1.228,00 (-1.396,49)","526.954 (-836.783,99)"
11/17/2016,"1.226,20 (-1.398,29)","527.680 (-836.058,32)"
11/18/2016,"1.208,00 (-1.416,49)","520.741 (-842.997,19)"
11/19/2016,"1.208,10 (-1.416,39)","520.784 (-842.954,08)"
11/20/2016,"1.208,10 (-1.416,39)","520.784 (-842.954,08)"
11/21/2016,"1.212,30 (-1.412,19)","523.764 (-839.974,26)"
11/22/2016,"1.210,50 (-1.413,99)","522.442 (-841.296,80)"
11/23/2016,"1.189,00 (-1.435,49)","515.036 (-848.702,88)"
11/24/2016,"1.185,70 (-1.438,79)","516.160 (-847.578,22)"
11/25/2016,"1.181,60 (-1.442,89)","515.515 (-848.223,35)"
11/26/2016,"1.184,50 (-1.439,99)","516.780 (-846.958,13)"
11/27/2016,"1.184,50 (-1.439,99)","516.780 (-846.958,13)"
11/28/2016,"1.191,50 (-1.432,99)","515.889 (-847.849,81)"
11/29/2016,"1.187,50 (-1.436,99)","517.287 (-846.451,03)"
11/30/2016,"1.174,40 (-1.450,09)","512.110 (-851.628,92)"
12/1/2016,"1.126,20 (-1.498,29)","496.016 (-867.722,72)"
12/2/2016,"1.125,00 (-1.499,49)","492.666 (-871.072,47)"
12/3/2016,"1.139,60 (-1.484,89)","504.043 (-859.695,86)"
12/4/2016,"1.154,80 (-1.469,69)","507.238 (-856.500,06)"
12/5/2016,"1.154,80 (-1.469,69)","506.904 (-856.834,21)"
12/6/2016,"1.173,90 (-1.450,59)","515.288 (-848.450,19)"
12/7/2016,"1.173,90 (-1.450,59)","515.288 (-848.450,19)"
12/8/2016,"1.195,30 (-1.429,19)","524.682 (-839.056,57)"
12/9/2016,"1.195,00 (-1.429,49)","525.933 (-837.805,13)"
12/10/2016,"1.160,50 (-1.463,99)","497.616 (-866.122,43)"
12/11/2016,"1.160,50 (-1.463,99)","497.616 (-866.122,43)"
12/12/2016,"1.161,60 (-1.462,89)","498.088 (-865.650,76)"
12/13/2016,"1.157,10 (-1.467,39)","495.116 (-868.621,98)"
12/14/2016,"1.163,40 (-1.461,09)","496.915 (-866.823,94)"
12/15/2016,"1.124,40 (-1.500,09)","483.221 (-880.517,40)"
12/16/2016,"1.140,80 (-1.483,69)","492.433 (-871.305,38)"
12/17/2016,"1.135,00 (-1.489,49)","489.929 (-873.808,98)"
12/18/2016,"1.135,00 (-1.489,49)","489.929 (-873.808,98)"
12/19/2016,"1.140,70 (-1.483,79)","490.740 (-872.998,89)"
12/20/2016,"1.130,10 (-1.494,39)","486.615 (-877.123,10)"
12/21/2016,"1.131,90 (-1.492,59)","490.302 (-873.436,72)"
12/22/2016,"1.130,80 (-1.493,69)","488.444 (-875.294,73)"
12/23/2016,"1.132,70 (-1.491,79)","490.539 (-873.199,44)"
12/24/2016,"1.133,10 (-1.491,39)","490.712 (-873.026,21)"
12/25/2016,"1.133,10 (-1.491,39)","490.712 (-873.026,21)"
12/26/2016,"1.134,00 (-1.490,49)","491.102 (-872.636,44)"
12/27/2016,"1.136,60 (-1.487,89)","490.986 (-872.752,91)"
12/28/2016,"1.139,70 (-1.484,79)","492.728 (-871.010,71)"
12/29/2016,"1.158,10 (-1.466,39)","501.651 (-862.087,74)"
12/30/2016,"1.156,50 (-1.467,99)","499.582 (-864.156,56)"
12/31/2016,"1.152,30 (-1.472,19)","497.768 (-865.970,86)"
1/1/2017,"1.152,30 (-1.472,19)","497.768 (-865.970,86)"
1/2/2017,"1.151,40 (-1.473,09)","497.379 (-866.359,64)"
1/3/2017,"1.161,50 (-1.462,99)","503.572 (-860.166,86)"
1/4/2017,"1.163,90 (-1.460,59)","504.350 (-859.388,27)"
1/5/2017,"1.182,30 (-1.442,19)","508.218 (-855.520,32)"
1/6/2017,"1.172,30 (-1.452,19)","503.053 (-860.685,75)"
1/7/2017,"1.172,70 (-1.451,79)","503.224 (-860.514,11)"
1/8/2017,"1.172,70 (-1.451,79)","503.224 (-860.514,11)"
1/9/2017,"1.183,10 (-1.441,39)","509.133 (-854.605,87)"
1/10/2017,"1.188,50 (-1.435,99)","508.973 (-854.765,77)"
1/11/2017,"1.186,90 (-1.437,59)","508.555 (-855.183,85)"
1/12/2017,"1.202,40 (-1.422,09)","513.688 (-850.050,18)"
1/13/2017,"1.195,20 (-1.429,29)","511.381 (-852.357,63)"
1/14/2017,"1.197,30 (-1.427,19)","512.279 (-851.459,12)"
1/15/2017,"1.197,30 (-1.427,19)","512.279 (-851.459,12)"
1/16/2017,"1.202,50 (-1.421,99)","516.283 (-847.455,82)"
1/17/2017,"1.214,00 (-1.410,49)","522.274 (-841.464,56)"
1/18/2017,"1.213,70 (-1.410,79)","520.077 (-843.661,75)"
1/19/2017,"1.200,80 (-1.423,69)","516.402 (-847.336,35)"
1/20/2017,"1.204,20 (-1.420,29)","518.097 (-845.641,89)"
1/21/2017,"1.210,30 (-1.414,19)","520.721 (-843.017,42)"
1/22/2017,"1.210,30 (-1.414,19)","520.721 (-843.017,42)"
1/23/2017,"1.218,40 (-1.406,09)","523.814 (-839.924,19)"
1/24/2017,"1.212,80 (-1.411,69)","519.769 (-843.969,42)"
1/25/2017,"1.200,50 (-1.423,99)","514.884 (-848.854,86)"
1/26/2017,"1.185,70 (-1.438,79)","507.964 (-855.774,26)"
1/27/2017,"1.188,20 (-1.436,29)","510.334 (-853.404,39)"
1/28/2017,"1.191,80 (-1.432,69)","511.880 (-851.858,18)"
1/29/2017,"1.191,80 (-1.432,69)","511.880 (-851.858,18)"
1/30/2017,"1.196,10 (-1.428,39)","512.804 (-850.934,26)"
1/31/2017,"1.213,30 (-1.411,19)","520.490 (-843.248,03)"
2/1/2017,"2.703,20 (-12,56)","1.423.410 (-6.613,66)"
2/2/2017,"2.703,20 (-12,56)","1.423.410 (-6.613,66)"
2/3/2017,"2.703,20 (-12,56)","1.423.410 (-6.613,66)"
2/4/2017,"2.703,20 (-12,56)","1.423.410 (-6.613,66)"
2/5/2017,"2.703,20 (-12,56)","1.423.410 (-6.613,66)"
2/6/2017,"2.703,20 (-12,56)","1.423.410 (-6.613,66)"
2/7/2017,"2.703,20 (-12,56)","1.423.410 (-6.613,66)"
2/8/2017,"2.703,20 (-12,56)","1.423.410 (-6.613,66)"
2/9/2017,"2.703,20 (-12,56)","1.423.410 (-6.613,66)"
2/10/2017,"1.258,80 (-1.365,69)","524.873 (-838.865,39)"
2/11/2017,"1.257,20 (-1.367,29)","525.136 (-838.602,87)"
2/12/2017,"1.251,70 (-1.372,79)","524.086 (-839.652,70)"
2/13/2017,"1.256,50 (-1.367,99)","526.297 (-837.440,96)"
2/14/2017,"1.255,60 (-1.368,89)","526.688 (-837.050,93)"
2/15/2017,"1.251,30 (-1.373,19)","524.884 (-838.854,66)"
2/16/2017,"1.251,30 (-1.373,19)","524.884 (-838.854,66)"
2/17/2017,"1.255,90 (-1.368,59)","527.096 (-836.642,44)"
2/18/2017,"1.262,90 (-1.361,59)","529.628 (-834.110,60)"
2/19/2017,"1.269,70 (-1.354,79)","530.969 (-832.769,26)"
2/20/2017,"1.266,40 (-1.358,09)","529.263 (-834.475,00)"
2/21/2017,"1.265,30 (-1.359,19)","529.658 (-834.080,43)"
2/22/2017,"1.266,40 (-1.358,09)","530.118 (-833.619,97)"
2/23/2017,"1.266,40 (-1.358,09)","530.118 (-833.619,97)"
2/24/2017,"1.263,80 (-1.360,69)","530.127 (-833.611,27)"
2/25/2017,"1.272,30 (-1.352,19)","532.670 (-831.068,40)"
2/26/2017,"1.267,70 (-1.356,79)","529.725 (-834.013,21)"
2/27/2017,"1.269,10 (-1.355,39)","531.534 (-832.204,13)"
2/28/2017,"1.270,20 (-1.354,29)","532.853 (-830.885,82)"
3/1/2017,"1.245,39 (-1.379,10)","534.977 (-828.761,10)"
3/2/2017,"1.235,33 (-1.389,16)","530.656 (-833.082,53)"
3/3/2017,"1.224,22 (-1.400,27)","526.434 (-837.303,98)"
3/4/2017,"1.234,54 (-1.389,95)","530.872 (-832.866,21)"
3/5/2017,"1.234,54 (-1.389,95)","530.872 (-832.866,21)"
3/6/2017,"1.226,37 (-1.398,12)","526.925 (-836.813,16)"
3/7/2017,"1.216,90 (-1.407,59)","522.309 (-841.429,80)"
3/8/2017,"1.210,64 (-1.413,85)","519.233 (-844.505,90)"
3/9/2017,"1.203,58 (-1.420,91)","517.482 (-846.256,91)"
3/10/2017,"1.199,54 (-1.424,95)","516.516 (-847.222,59)"
3/11/2017,"1.204,59 (-1.419,90)","518.690 (-845.048,09)"
3/12/2017,"1.204,59 (-1.419,90)","518.690 (-845.048,09)"
3/13/2017,"1.205,65 (-1.418,84)","518.023 (-845.715,77)"
3/14/2017,"1.204,64 (-1.419,85)","517.434 (-846.304,65)"
3/15/2017,"1.200,21 (-1.424,28)","516.110 (-847.628,67)"
3/16/2017,"1.228,79 (-1.395,70)","526.859 (-836.879,56)"
3/17/2017,"1.228,34 (-1.396,15)","526.903 (-836.835,55)"
3/18/2017,"1.229,02 (-1.395,47)","527.195 (-836.543,86)"
3/19/2017,"1.229,02 (-1.395,47)","527.195 (-836.543,86)"
3/20/2017,"1.232,98 (-1.391,51)","528.378 (-835.360,53)"
3/21/2017,"1.244,26 (-1.380,23)","532.372 (-831.366,71)"
3/22/2017,"1.249,39 (-1.375,10)","535.651 (-828.087,22)"
3/23/2017,"1.244,53 (-1.379,96)","533.448 (-830.290,89)"
3/24/2017,"1.247,52 (-1.376,97)","534.609 (-829.129,60)"
3/25/2017,"1.244,90 (-1.379,59)","533.486 (-830.252,37)"
3/26/2017,"1.244,90 (-1.379,59)","533.486 (-830.252,37)"
3/27/2017,"1.255,37 (-1.369,12)","537.367 (-826.371,00)"
3/28/2017,"1.254,97 (-1.369,52)","537.196 (-826.542,22)"
3/29/2017,"1.251,70 (-1.372,79)","536.159 (-827.579,77)"
3/30/2017,"1.249,21 (-1.375,28)","534.811 (-828.927,49)"
3/31/2017,"1.248,59 (-1.375,90)","534.746 (-828.992,21)"
4/1/2017,"1.248,92 (-1.375,57)","534.888 (-828.850,88)"
4/2/2017,"1.248,92 (-1.375,57)","534.888 (-828.850,88)"
4/3/2017,"1.252,33 (-1.372,16)","536.469 (-827.269,65)"
4/4/2017,"1.255,83 (-1.368,66)","538.049 (-825.689,58)"
4/5/2017,"1.246,40 (-1.378,09)","534.129 (-829.609,56)"
4/6/2017,"1.252,75 (-1.371,74)","536.770 (-826.968,91)"
4/7/2017,"1.264,76 (-1.359,73)","542.485 (-821.253,66)"
4/8/2017,"1.253,96 (-1.370,53)","537.852 (-825.886,03)"
4/9/2017,"1.253,96 (-1.370,53)","537.852 (-825.886,03)"
4/10/2017,"1.254,16 (-1.370,33)","537.212 (-826.526,05)"
4/11/2017,"1.270,56 (-1.353,93)","542.562 (-821.176,03)"
4/12/2017,"1.274,34 (-1.350,15)","544.832 (-818.906,33)"
4/13/2017,"1.286,66 (-1.337,83)","548.693 (-815.045,51)"
4/14/2017,"1.283,70 (-1.340,79)","547.431 (-816.307,80)"
4/15/2017,"1.284,01 (-1.340,48)","547.563 (-816.175,60)"
4/16/2017,"1.284,01 (-1.340,48)","547.563 (-816.175,60)"
4/17/2017,"1.288,72 (-1.335,77)","549.199 (-814.539,93)"
4/18/2017,"1.289,91 (-1.334,58)","551.530 (-812.208,05)"
4/19/2017,"1.281,75 (-1.342,74)","548.041 (-815.697,05)"
4/20/2017,"1.280,16 (-1.344,33)","548.555 (-815.183,30)"
4/21/2017,"1.285,69 (-1.338,80)","550.594 (-813.144,36)"
4/22/2017,"1.284,36 (-1.340,13)","550.025 (-813.713,93)"
4/23/2017,"1.284,36 (-1.340,13)","550.025 (-813.713,93)"
4/24/2017,"1.275,12 (-1.349,37)","546.068 (-817.670,94)"
4/25/2017,"1.264,46 (-1.360,03)","540.527 (-823.211,74)"
4/26/2017,"1.263,21 (-1.361,28)","539.261 (-824.477,12)"
4/27/2017,"1.264,96 (-1.359,53)","540.862 (-822.875,99)"
4/28/2017,"1.266,66 (-1.357,83)","542.730 (-821.008,85)"
4/29/2017,"1.268,02 (-1.356,47)","543.312 (-820.426,12)"
4/30/2017,"1.268,02 (-1.356,47)","543.312 (-820.426,12)"
5/1/2017,"1.255,02 (-1.369,47)","537.742 (-825.996,27)"
5/2/2017,"1.254,94 (-1.369,55)","537.264 (-826.474,37)"
5/3/2017,"1.248,42 (-1.376,07)","533.710 (-830.028,32)"
5/4/2017,"1.230,46 (-1.394,03)","527.338 (-836.400,89)"
5/5/2017,"1.228,03 (-1.396,46)","526.651 (-837.086,97)"
5/6/2017,"1.227,60 (-1.396,89)","526.467 (-837.271,38)"
5/7/2017,"1.227,60 (-1.396,89)","526.467 (-837.271,38)"
5/8/2017,"1.227,44 (-1.397,05)","525.807 (-837.931,95)"
5/9/2017,"1.216,68 (-1.407,81)","520.923 (-842.815,10)"
5/10/2017,"1.220,28 (-1.404,21)","523.956 (-839.782,90)"
5/11/2017,"1.223,97 (-1.400,52)","525.540 (-838.198,51)"
5/12/2017,"1.227,04 (-1.397,45)","526.266 (-837.472,09)"
5/13/2017,"1.228,23 (-1.396,26)","526.777 (-836.961,71)"
5/14/2017,"1.228,23 (-1.396,26)","526.777 (-836.961,71)"
5/15/2017,"1.232,10 (-1.392,39)","527.605 (-836.133,78)"
5/16/2017,"1.236,96 (-1.387,53)","528.851 (-834.887,80)"
5/17/2017,"1.256,45 (-1.368,04)","537.507 (-826.231,87)"
5/18/2017,"1.254,57 (-1.369,92)","538.195 (-825.543,72)"
5/19/2017,"1.251,77 (-1.372,72)","539.690 (-824.048,45)"
5/20/2017,"1.255,27 (-1.369,22)","541.199 (-822.539,45)"
5/21/2017,"1.255,27 (-1.369,22)","541.199 (-822.539,45)"
5/22/2017,"1.259,59 (-1.364,90)","538.485 (-825.253,05)"
5/23/2017,"1.254,07 (-1.370,42)","536.085 (-827.653,22)"
5/24/2017,"1.251,46 (-1.373,03)","535.774 (-827.964,22)"
5/25/2017,"1.256,12 (-1.368,37)","537.769 (-825.969,19)"
5/26/2017,"1.266,19 (-1.358,30)","541.226 (-822.512,91)"
5/27/2017,"1.266,75 (-1.357,74)","541.465 (-822.273,55)"
5/28/2017,"1.266,75 (-1.357,74)","541.465 (-822.273,55)"
5/29/2017,"1.266,60 (-1.357,89)","542.093 (-821.645,39)"
5/30/2017,"1.262,89 (-1.361,60)","541.480 (-822.258,76)"
5/31/2017,"1.268,10 (-1.356,39)","543.102 (-820.636,47)"
6/1/2017,"1.263,00 (-1.361,49)","540.918 (-822.820,70)"
6/2/2017,"1.276,22 (-1.348,27)","546.169 (-817.569,15)"
6/3/2017,"1.278,45 (-1.346,04)","547.124 (-816.614,80)"
6/4/2017,"1.278,45 (-1.346,04)","547.124 (-816.614,80)"
6/5/2017,"1.279,62 (-1.344,87)","546.637 (-817.101,47)"
6/6/2017,"1.292,15 (-1.332,34)","551.907 (-811.831,90)"
6/7/2017,"1.289,91 (-1.334,58)","551.862 (-811.876,28)"
6/8/2017,"1.276,81 (-1.347,68)","546.627 (-817.111,40)"
6/9/2017,"1.269,04 (-1.355,45)","542.321 (-821.417,10)"
6/10/2017,"1.266,51 (-1.357,98)","541.240 (-822.498,29)"
6/11/2017,"1.266,51 (-1.357,98)","541.240 (-822.498,29)"
6/12/2017,"1.265,95 (-1.358,54)","541.001 (-822.737,60)"
6/13/2017,"1.264,29 (-1.360,20)","540.373 (-823.365,71)"
6/14/2017,"1.275,51 (-1.348,98)","544.840 (-818.898,21)"
6/15/2017,"1.253,02 (-1.371,47)","535.072 (-828.666,07)"
6/16/2017,"1.254,07 (-1.370,42)","536.166 (-827.572,58)"
6/17/2017,"1.253,39 (-1.371,10)","535.875 (-827.863,31)"
6/18/2017,"1.253,39 (-1.371,10)","535.875 (-827.863,31)"
6/19/2017,"1.247,61 (-1.376,88)","532.923 (-830.815,83)"
6/20/2017,"1.243,77 (-1.380,72)","531.722 (-832.016,24)"
6/21/2017,"1.244,63 (-1.379,86)","532.250 (-831.488,52)"
6/22/2017,"1.250,79 (-1.373,70)","535.608 (-828.130,42)"
6/23/2017,"1.255,31 (-1.369,18)","537.544 (-826.194,89)"
6/24/2017,"1.256,64 (-1.367,85)","538.113 (-825.625,36)"
6/25/2017,"1.256,64 (-1.367,85)","538.113 (-825.625,36)"
6/26/2017,"1.243,89 (-1.380,60)","532.653 (-831.085,11)"
6/27/2017,"1.246,95 (-1.377,54)","533.964 (-829.774,77)"
6/28/2017,"1.249,28 (-1.375,21)","534.961 (-828.777,03)"
6/29/2017,"1.245,15 (-1.379,34)","533.193 (-830.545,56)"
6/30/2017,"1.242,33 (-1.382,16)","531.985 (-831.753,13)"
7/1/2017,"1.241,33 (-1.383,16)","531.557 (-832.181,34)"
7/2/2017,"1.241,33 (-1.383,16)","531.557 (-832.181,34)"
7/3/2017,"1.221,73 (-1.402,76)","523.400 (-840.338,70)"
7/4/2017,"1.222,91 (-1.401,58)","526.304 (-837.434,81)"
7/5/2017,"1.223,77 (-1.400,72)","525.218 (-838.520,46)"
7/6/2017,"1.223,19 (-1.401,30)","525.559 (-838.179,49)"
7/7/2017,"1.211,86 (-1.412,63)","521.977 (-841.761,81)"
7/8/2017,"1.212,82 (-1.411,67)","522.390 (-841.348,32)"
7/9/2017,"1.212,82 (-1.411,67)","522.390 (-841.348,32)"
7/10/2017,"1.212,19 (-1.412,30)","522.547 (-841.190,97)"
7/11/2017,"1.216,79 (-1.407,70)","523.709 (-840.029,55)"
7/12/2017,"1.221,25 (-1.403,24)","524.882 (-838.855,98)"
7/13/2017,"1.217,06 (-1.407,43)","522.064 (-841.674,17)"
7/14/2017,"1.228,62 (-1.395,87)","527.221 (-836.517,94)"
7/15/2017,"1.228,49 (-1.396,00)","527.165 (-836.573,72)"
7/16/2017,"1.228,49 (-1.396,00)","527.165 (-836.573,72)"
7/17/2017,"1.234,03 (-1.390,46)","528.193 (-835.545,37)"
7/18/2017,"1.242,07 (-1.382,42)","531.674 (-832.064,13)"
7/19/2017,"1.241,43 (-1.383,06)","531.001 (-832.737,22)"
7/20/2017,"1.246,23 (-1.378,26)","533.695 (-830.043,02)"
7/21/2017,"1.252,99 (-1.371,50)","536.711 (-827.027,21)"
7/22/2017,"1.254,63 (-1.369,86)","537.414 (-826.324,73)"
7/23/2017,"1.254,63 (-1.369,86)","537.414 (-826.324,73)"
7/24/2017,"1.254,97 (-1.369,52)","537.398 (-826.340,48)"
7/25/2017,"1.251,02 (-1.373,47)","535.747 (-827.991,71)"
7/26/2017,"1.248,00 (-1.376,49)","535.015 (-828.723,28)"
7/27/2017,"1.258,26 (-1.366,23)","538.645 (-825.093,47)"
7/28/2017,"1.269,10 (-1.355,39)","543.734 (-820.004,17)"
7/29/2017,"1.269,22 (-1.355,27)","543.786 (-819.952,76)"
7/30/2017,"1.269,22 (-1.355,27)","543.786 (-819.952,76)"
7/31/2017,"1.268,00 (-1.356,49)","543.141 (-820.597,76)"
8/1/2017,"1.272,51 (-1.351,98)","544.868 (-818.870,49)"
8/2/2017,"1.271,93 (-1.352,56)","545.151 (-818.587,22)"
8/3/2017,"1.268,52 (-1.355,97)","543.649 (-820.089,53)"
8/4/2017,"1.257,57 (-1.366,92)","538.713 (-825.024,96)"
8/5/2017,"1.258,79 (-1.365,70)","539.236 (-824.502,34)"
8/6/2017,"1.258,79 (-1.365,70)","539.236 (-824.502,34)"
8/7/2017,"1.258,59 (-1.365,90)","538.948 (-824.790,34)"
8/8/2017,"1.255,88 (-1.368,61)","537.788 (-825.950,80)"
8/9/2017,"1.271,90 (-1.352,59)","544.852 (-818.886,32)"
8/10/2017,"1.283,83 (-1.340,66)","550.541 (-813.197,93)"
8/11/2017,"1.287,28 (-1.337,21)","553.344 (-810.394,09)"
