Date,USD,IDR
11/26/2013,"1.243,20 (-1.381,29)","471.144 (-892.594,34)"
11/27/2013,"1.240,70 (-1.383,79)","473.687 (-890.051,46)"
11/28/2013,"1.245,40 (-1.379,09)","480.887 (-882.851,57)"
11/29/2013,"1.253,20 (-1.371,29)","483.899 (-879.839,75)"
11/30/2013,"1.252,70 (-1.371,79)","483.706 (-880.032,82)"
12/1/2013,"2.703,20 (-12,56)","1.423.410 (-6.613,66)"
12/2/2013,"2.703,20 (-12,56)","1.423.410 (-6.613,66)"
12/3/2013,"2.703,20 (-12,56)","1.423.410 (-6.613,66)"
12/4/2013,"2.703,20 (-12,56)","1.423.410 (-6.613,66)"
12/5/2013,"2.703,20 (-12,56)","1.423.410 (-6.613,66)"
12/6/2013,"2.703,20 (-12,56)","1.423.410 (-6.613,66)"
12/7/2013,"2.703,20 (-12,56)","1.423.410 (-6.613,66)"
12/8/2013,"2.703,20 (-12,56)","1.423.410 (-6.613,66)"
12/9/2013,"2.703,20 (-12,56)","1.423.410 (-6.613,66)"
12/10/2013,"1.263,00 (-1.361,49)","486.262 (-877.476,90)"
12/11/2013,"1.259,90 (-1.364,59)","486.790 (-876.948,88)"
12/12/2013,"1.228,80 (-1.395,69)","475.662 (-888.076,13)"
12/13/2013,"1.238,30 (-1.386,19)","482.027 (-881.711,40)"
12/14/2013,"1.239,30 (-1.385,19)","482.416 (-881.322,14)"
12/15/2013,"1.239,30 (-1.385,19)","482.416 (-881.322,14)"
12/16/2013,"1.248,10 (-1.376,39)","486.544 (-877.194,38)"
12/17/2013,"1.231,30 (-1.393,19)","479.995 (-883.743,48)"
12/18/2013,"1.228,90 (-1.395,59)","481.035 (-882.703,57)"
12/19/2013,"1.201,10 (-1.423,39)","471.891 (-891.847,74)"
12/20/2013,"1.205,80 (-1.418,69)","474.513 (-889.225,84)"
12/21/2013,"1.204,00 (-1.420,49)","473.804 (-889.934,19)"
12/22/2013,"1.204,00 (-1.420,49)","473.804 (-889.934,19)"
12/23/2013,"1.200,40 (-1.424,09)","472.002 (-891.736,82)"
12/24/2013,"1.203,60 (-1.420,89)","472.873 (-890.865,53)"
12/25/2013,"1.205,10 (-1.419,39)","473.462 (-890.276,21)"
12/26/2013,"1.213,10 (-1.411,39)","476.605 (-887.133,15)"
12/27/2013,"1.215,60 (-1.408,89)","478.174 (-885.564,71)"
12/28/2013,"1.215,20 (-1.409,29)","478.016 (-885.722,06)"
12/29/2013,"1.215,20 (-1.409,29)","478.016 (-885.722,06)"
12/30/2013,"1.205,70 (-1.418,79)","475.830 (-887.908,45)"
12/31/2013,"1.208,50 (-1.415,99)","475.284 (-888.454,73)"
1/1/2014,"1.205,90 (-1.418,59)","474.261 (-889.477,27)"
1/2/2014,"1.226,70 (-1.397,79)","482.441 (-881.296,96)"
1/3/2014,"1.236,90 (-1.387,59)","486.453 (-877.285,47)"
1/4/2014,"1.238,50 (-1.385,99)","487.082 (-876.656,21)"
1/5/2014,"1.238,50 (-1.385,99)","487.082 (-876.656,21)"
1/6/2014,"1.241,10 (-1.383,39)","488.105 (-875.633,67)"
1/7/2014,"1.226,80 (-1.397,69)","482.481 (-881.257,64)"
1/8/2014,"1.222,70 (-1.401,79)","480.868 (-882.870,10)"
1/9/2014,"1.225,00 (-1.399,49)","481.773 (-881.965,55)"
1/10/2014,"1.244,40 (-1.380,09)","489.403 (-874.335,84)"
1/11/2014,"1.249,00 (-1.375,49)","491.212 (-872.526,73)"
1/12/2014,"1.249,00 (-1.375,49)","491.212 (-872.526,73)"
1/13/2014,"1.250,10 (-1.374,39)","491.644 (-872.094,12)"
1/14/2014,"1.244,50 (-1.379,99)","482.940 (-880.798,39)"
1/15/2014,"1.241,00 (-1.383,49)","483.178 (-880.560,64)"
1/16/2014,"1.243,00 (-1.381,49)","483.957 (-879.781,95)"
1/17/2014,"1.253,60 (-1.370,89)","487.882 (-875.856,41)"
1/18/2014,"1.254,60 (-1.369,89)","488.271 (-875.467,22)"
