time,open,high,low,close,Volume
11/5/1998,78187.40058,78187.40058,78187.40058,78187.40058,0
11/9/1998,72560.05541,72621.9456,72522.9213,72522.9213,0
11/10/1998,73502.39379,73615.24291,73502.39379,73540.01016,0
11/11/1998,74342.4928,74380.10917,74342.4928,74367.57038,0
11/12/1998,73178.95728,73178.95728,73178.95728,73178.95728,0
11/16/1998,69947.16423,70042.33044,69947.16423,69947.16423,0
11/17/1998,72643.96886,72692.83799,72643.96886,72692.83799,0
11/18/1998,72338.53676,72497.36145,72338.53676,72497.36145,0
11/19/1998,71374.65738,71374.65738,71324.01996,71324.01996,0
11/23/1998,71374.65738,71446.99656,71374.65738,71398.77044,0
11/24/1998,71446.99656,71495.22268,71422.8835,71422.8835,0
11/26/1998,71278.20514,71338.48779,71278.20514,71338.48779,0
11/30/1998,69828.20647,69897.20197,69828.20647,69863.8938,0
12/1/1998,70639.20905,70723.60476,70639.20905,70711.54823,0
12/2/1998,71324.50222,71471.10962,71324.50222,71446.67505,0
12/3/1998,70434.24805,70434.24805,70434.24805,70434.24805,0
12/7/1998,69651.57831,69663.4339,69509.31125,69509.31125,0
12/8/1998,70844.17006,71085.30066,70844.17006,70988.84842,0
12/9/1998,70419.78021,70683.25558,70419.78021,70647.32712,0
12/10/1998,70072.55215,70072.55215,70072.55215,70072.55215,0
12/14/1998,73477.31621,73540.01016,73424.65329,73424.65329,0
12/15/1998,73591.85324,73703.97897,73342.68496,73342.68496,0
12/16/1998,72201.09232,72250.60447,72188.71429,72188.71429,0
12/17/1998,72474.21292,72712.44995,72474.21292,72712.44995,0
12/21/1998,71136.5811,71210.84933,71136.5811,71210.84933,0
12/22/1998,71012.80073,71161.33718,70938.53251,70938.53251,0
12/23/1998,70802.37409,70802.37409,70802.37409,70802.37409,0
12/28/1998,73560.90815,73635.49788,73560.90815,73586.62875,0
12/29/1998,73818.11412,73895.27591,73818.11412,73818.11412,0
12/30/1998,74075.32009,74075.32009,74075.32009,74075.32009,0
1/5/1999,72996.98405,72996.98405,72996.98405,72996.98405,0
1/6/1999,72185.82072,73151.30764,72185.82072,72925.6094,0
1/7/1999,73000.84214,73000.84214,73000.84214,73000.84214,0
1/11/1999,75079.38791,75079.38791,75079.38791,75079.38791,0
1/12/1999,79036.5018,79036.5018,79036.5018,79036.5018,0
1/13/1999,79271.52375,79271.52375,79271.52375,79271.52375,0
1/14/1999,76045.35709,76045.35709,76045.35709,76045.35709,0
1/18/1999,77292.96681,77292.96681,77292.96681,77292.96681,0
1/19/1999,77509.01983,77509.01983,77509.01983,77509.01983,0
1/20/1999,79492.72089,79492.72089,79492.72089,79492.72089,0
1/21/1999,80311.52003,80311.52003,80311.52003,80311.52003,0
1/25/1999,84368.52629,84457.11767,84368.52629,84412.82198,0
1/26/1999,81740.77504,81740.77504,81740.77504,81740.77504,0
1/27/1999,84018.25998,84047.83866,84018.25998,84033.04932,0
1/28/1999,79969.51646,79969.51646,79969.51646,79969.51646,0
2/1/1999,79332.93168,79332.93168,79332.93168,79332.93168,0
2/2/1999,78541.05879,78541.05879,78541.05879,78541.05879,0
2/3/1999,78690.31863,78690.31863,78690.31863,78690.31863,0
2/4/1999,79713.91803,79713.91803,79713.91803,79713.91803,0
2/8/1999,80417.05485,80417.05485,80417.05485,80417.05485,0
2/9/1999,77943.21566,77943.21566,77943.21566,77943.21566,0
2/10/1999,79316.77593,79316.77593,79316.77593,79316.77593,0
2/11/1999,80455.475,80455.475,80455.475,80455.475,0
